    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 2002.0834   43     9.22    -3.33     0.00       0.0704       0.0000       5.7245       5.8687    1416.0264
 2002.0834   44     5.78    -5.28     0.00       0.8522       0.0000       5.3445       5.8451    1427.3198
 2002.0834   45     9.33    -4.83     0.00       9.2744       0.0000       4.6983       5.8216    1578.7768
 2002.0834   46    12.00    -0.33     0.00       1.0047       1.7937       4.5016       5.7982    1811.8058
 2002.0834   47    10.17    -0.67     0.00       0.7692       1.3755       4.6054       5.7682    1869.0929
 2002.0834   48    10.89    -2.89     0.00       0.5825       1.0442       4.7113       5.7399    1885.0437
 2002.0834   49    13.67    -2.83     0.00       0.5267       0.9483       4.8637       5.7132    1936.4820
 2002.0834   50    14.17     5.89     0.00       0.4388       0.7940       5.0645       5.6869    2145.7678
 2002.0834   51    10.67     2.22     0.10       0.4074       0.7663       4.9819       5.6614    2174.0746
 2002.0834   52     7.50    -1.44     0.00       0.3365       0.6101       5.0308       5.6362    2100.2199
 2002.0834   53     9.22    -5.56     0.00       0.2501       0.4566       5.1120       5.6301    2009.1899
 2002.0834   54    10.39    -4.78     0.00       0.1374       0.2532       5.2371       5.6408    1977.4656
 2002.0834   55    19.28     2.72     0.00       0.1152       0.2159       5.5373       5.6803    2199.1137
 2002.0834   56    16.00    -6.94     0.00       0.1264       0.2413       5.6106       5.7344    2095.2472
 2002.0834   57    -1.94   -13.61     0.00       0.1081       0.2083       5.4911       5.7634    1721.5106
 2002.0834   58    -6.06   -15.33     0.00       0.1012       0.1962       5.4521       5.7828    1464.4934
 2002.0834   59     0.94   -15.28     0.00       0.1043       0.2048       5.5303       5.8059    1345.4150
 2002.1666   60     6.83    -9.28     0.00       0.1437       0.2872       5.6971       8.8324    1225.6216
 2002.1666   61    -5.94   -12.67     0.30       0.1353       0.0000       5.6770       8.8361    1191.9348
 2002.1666   62    -8.56   -18.06     0.00       0.1331       0.0000       5.6517       8.8368    1149.1776
 2002.1666   63   -10.33   -18.28     0.00       0.1323       0.0000       5.6354       8.8364    1112.7004
 2002.1666   64     7.67   -11.50     0.00       0.1244       0.2401       5.4748       8.8257    1134.3105
 2002.1666   65    20.11     1.17     0.00       0.1492       0.2975       5.8796       8.8478    1388.2706
 2002.1666   66     5.72    -2.67     0.00       0.1525       0.3090       5.8519       8.8739    1337.4949
 2002.1666   67     6.39    -2.61     1.65       0.1061       0.0000       5.8173       8.8381    1288.6341
 2002.1666   68     4.50   -10.44     0.81       0.1056       0.0000       5.7923       8.8026    1249.0139
 2002.1666   69    -2.06   -10.44     0.00       0.1501       0.0000       5.7708       8.8263    1212.4909
 2002.1666   70     6.61    -9.78     0.00       0.1519       0.0000       5.7743       8.8520    1203.8112
 2002.1666   71    10.78    -4.44     0.00       4.5627       0.0000       5.0717       8.8666    1226.3566
 2002.1666   72    17.28    -3.39     0.00       1.1154       0.0000       3.6004       8.9194    1457.5619
 2002.1666   73    13.44     1.61     0.00       1.1289       2.0115       3.6363       8.9886    1639.8175
 2002.1666   74    19.72    -2.61     0.00       0.7558       1.3470       3.9217       9.0723    1813.0593
 2002.1666   75     4.83    -4.89     0.00       0.7152       1.2752       3.9456       9.1611    1692.0404
 2002.1666   76    10.11    -3.22     0.00       0.6332       1.1307       4.1391       9.2699    1734.2503
 2002.1666   77    12.06    -2.06     0.00       0.4640       0.8313       4.3428       9.4037    1807.1875
 2002.1666   78    14.11    -1.50     0.08       0.2999       0.5390       4.4834       9.5511    1902.5676
 2002.1666   79     6.28    -0.50     0.00       0.2575       0.4647       4.5558       9.7010    1851.8697
 2002.1666   80    14.39    -9.78     0.00       0.2756       0.5030       4.7732       9.8719    1848.5731
 2002.1666   81    -3.67   -13.78     0.00       0.2477       0.4544       4.6875      10.0028    1543.0181
 2002.1666   82     6.06   -12.67     0.00       0.2517       0.4669       4.8617      10.1364    1493.4686
 2002.1666   83    14.06    -3.00     0.00       0.2942       0.5579       5.1912      10.3233    1659.3447
 2002.1666   84     2.56    -5.44     0.28       0.2732       0.0000       5.0337      10.4789    1549.3269
 2002.1666   85    -1.67    -8.17     0.00       0.2590       0.0000       5.0088      10.6128    1461.9970
 2002.1666   86     5.94    -8.56     0.00       0.2603       0.4924       5.0610      10.7457    1447.4657
 2002.1666   87    17.22    -0.78     0.00       0.3153       0.6162       5.4583      10.9482    1671.9261
 2002.1666   88    18.44     5.67     0.00       0.3990       0.8113       5.7810      12.3451    1923.6434
 2002.1666   89    16.67     3.72     0.00       0.4704       0.9992       6.0010      15.2179    2053.3426
 2002.1666   90    11.39     2.61     0.00       0.4875       1.0436       5.9969      16.1217    2066.3501
 2002.2500   91    11.89     1.28     0.00       0.5673       1.2195       6.0204      21.4658    2149.0571
 2002.2500   92    25.56     3.28     0.00       0.6939       1.4999       6.2015      28.7274    2390.8298
 2002.2500   93     6.83    -6.72     0.00       0.6117       1.3276       6.0058      24.0374    2182.2479
 2002.2500   94     4.83    -8.22     0.00       0.5455       1.1884       5.9761      20.3402    2008.6390
 2002.2500   95    10.72    -5.94     0.00       0.5398       1.1811       6.0464      20.0626    1969.7711
 2002.2500   96    16.94    -0.61     0.00       0.6008       1.3208       6.1686      23.5495    2072.3222
 2002.2500   97    17.61     0.89     0.33       0.6204       1.6166       5.9679      27.2737    2163.6371
 2002.2500   98    11.33     9.00     0.05       0.6703       1.4023       6.0025      30.5871    2234.3862
 2002.2500   99    12.00     0.44     0.00       0.6906       1.5039       6.1472      30.0685    2172.1061
 2002.2500  100    17.83     0.50     0.00       0.7836       1.7914       6.4154      34.7439    2273.3030
 2002.2500  101    25.11     9.39     0.56       0.7532       3.8279       6.0425      45.9344    3204.7039
 2002.2500  102    21.39     7.78     1.50       4.0179      10.2445       3.9335      65.3318    4056.0505
 2002.2500  103    18.22     5.94     0.00       2.7829       6.5743       4.2153      69.7147    3300.6680
 2002.2500  104    22.06     6.39     0.00       2.8968       5.6380       4.6203      81.7153    3510.5652
 2002.2500  105    30.50    12.11     0.00       4.1921       7.7147       5.2214     113.7960    4063.3851
 2002.2500  106    32.00    17.78     0.00       5.7370      10.7193       5.4889     152.0009    4617.0151
 2002.2500  107    27.72    10.50     0.00       6.1591      11.5544       5.5028     168.9121    4777.4306
 2002.2500  108    29.22    11.11     0.00       6.7238      12.6683       5.5816     190.7316    4983.8838
 2002.2500  109    31.94     6.78     0.00       7.1736      13.5816       5.6488     211.4474    5150.5846
 2002.2500  110    12.72    10.33     0.00       6.1284      11.6392       5.5500     190.0899    4790.3475
 2002.2500  111     9.56     5.78     0.76       5.1482       9.1830       4.2412     163.0631    4400.3251
 2002.2500  112     9.39     0.83     0.00      10.9428       9.7831       3.9613     183.7577   18298.3923
 2002.2500  113    18.94     5.89     0.05      21.1276      19.0984       4.4251     249.2558   25743.0840
 2002.2500  114    26.94     8.00     0.05      24.5995      23.1156       5.0458     367.6595   27627.5778
 2002.2500  115    14.11     1.61     1.07      26.3060      23.2971       3.6240     352.3378   24638.6623
 2002.2500  116    14.72     2.89     0.00      23.9663      21.2548       3.9592     361.0655   22836.7162
 2002.2500  117    12.06     6.72     1.14      23.1240      20.4370       3.5609     359.3785   21161.5729
 2002.2500  118    18.17     2.94     1.47      23.3552      20.6276       3.6990     403.1205   20942.7738
 2002.2500  119    10.61     2.83     0.00      19.9339      17.6117       3.8984     365.0039   18663.9738
 2002.2500  120    21.89     5.61     0.10      22.3800      19.8342       4.2358     466.9012   19835.6748
 2002.3334  121    20.22     9.72     0.00      22.5955      20.2846       4.6547     577.8832   19488.8985
 2002.3334  122    16.17     3.06     0.10      20.0361      18.0766       4.7468     551.9529   18024.7951
 2002.3334  123    16.06     2.78     0.00      18.1938      16.9360       5.0962     544.9462   17005.3089
 2002.3334  124    20.61     6.56     0.00      18.2684      17.1940       5.2925     605.8789   17079.6812
 2002.3334  125    21.83     8.39     0.00      18.1996      17.2173       5.4246     670.8465   17142.5009
 2002.3334  126    29.44     9.28     2.57      27.8637      24.1374       3.9554     806.6314   18111.5699
 2002.3334  127    27.06    12.44     0.00      27.7912      24.1051       4.5230     932.4934   18573.1924
 2002.3334  128    26.39    12.06     0.00      25.7124      22.6165       5.0506    1006.5490   18426.8796
 2002.3334  129    26.67     6.94     0.00      22.2295      20.3132       5.5759    1022.6603   17798.7421
 2002.3334  130    16.50     6.50     0.00      17.9997      16.6154       5.6439     905.8460   16191.3478
 2002.3334  131    19.61     9.11     2.18      28.7884      24.1604       3.8243     903.8009   15768.6794
 2002.3334  132    20.50    10.22     0.74      28.4831      23.8306       3.8436     905.3929   15275.0242
 2002.3334  133    11.89     4.11     0.00      21.4085      17.8628       4.0070     727.8732   13336.5297
 2002.3334  134    22.11     5.17     0.00      19.2489      16.1448       4.5527     779.4223   13374.8662
 2002.3334  135    24.56     9.44     0.00      17.3936      14.7719       5.0688     849.1491   13513.3767
 2002.3334  136    24.78    14.61     0.58      18.5276      15.2723       4.5091     931.2913   13765.9371
 2002.3334  137    19.11     7.44     0.23      16.9179      13.8522       4.4378     848.5649   12881.7904
 2002.3334  138    18.06     5.44     0.00      13.6123      11.1682       4.7633     777.2344   12056.1957
 2002.3334  139    18.28     5.50     0.00      11.3680       9.3935       5.0929     731.6891   11429.5852
 2002.3334  140    19.83     5.67     0.00      10.0838       8.4566       5.4448     713.2502   11004.7650
 2002.3334  141    19.33     6.17     0.00       9.3806       8.0227       5.7389     681.2555   10461.2410
 2002.3334  142    21.11     7.06     0.00       9.1705       8.0598       6.0561     666.9421    9998.9879
 2002.3334  143    22.94    14.61     3.17      23.4421      18.7088       3.9033     787.6777   11025.0676
 2002.3334  144    18.56     6.39     0.10      18.9390      15.0293       4.0583     718.1930   10380.8045
 2002.3334  145    11.28     6.39     1.50      19.5079      15.4266       3.6831     597.8841    9345.8903
 2002.3334  146    21.00     6.50     0.00      16.6157      13.1376       4.1623     632.6071    9434.7745
 2002.3334  147    26.11    13.44     0.36      18.8124      14.7796       4.1356     727.8892    9927.4361
 2002.3334  148    28.11    16.11     0.13      17.2368      13.4507       4.4529     809.0545   10249.5360
 2002.3334  149    28.17    14.39     0.00      14.3774      11.1812       4.9313     843.8952   10275.2364
 2002.3334  150    29.94    14.50     0.00      12.6681       9.8557       5.4178     873.2747   10249.9294
 2002.3334  151    32.61    14.94     0.00      12.4027       9.7355       5.9073     897.9920   10154.9602
 2002.4166  152    34.22    19.78     0.00      13.5952      10.8030       6.3388     997.1934   10312.6001
 2002.4166  153    33.89    19.89     0.00      13.1388      10.5973       6.6827     959.8598    9808.3717
 2002.4166  154    33.94    19.94     0.00      12.2326      10.0485       6.9835     888.0385    9064.1874
 2002.4166  155    32.06    14.61     0.00      10.6319       8.9185       7.1938     763.3753    7999.0846
 2002.4166  156    23.28    13.89     0.03       9.0975       7.6629       7.1945     643.6593    7168.2227
 2002.4166  157    26.06    13.83     0.00       8.1904       7.0284       7.3256     575.4809    6524.9825
 2002.4166  158    29.61    14.72     0.00       7.6381       6.6610       7.4816     537.4330    6065.0730
 2002.4166  159    30.50    19.00     0.00       7.2598       6.4126       7.6197     514.6344    5744.7761
 2002.4166  160    30.94    19.22     0.00       6.7681       6.0609       7.7222     483.6322    5393.8597
 2002.4166  161    30.89    21.78     0.00       6.1918       5.6379       7.8140     445.0657    4969.6299
 2002.4166  162    30.33    20.72     0.15       5.6594       6.3970       7.8333     404.3164    4556.4762
 2002.4166  163    29.83    20.11     0.38       5.7833       5.9459       7.7279     387.4216    4342.1772
 2002.4166  164    28.72    15.61     1.47      14.2381      21.3674       6.3298     900.9593   11752.8343
 2002.4166  165    23.94    12.83     0.00      11.2153      12.0015       6.7429     768.6117    8384.5812
 2002.4166  166    25.28    12.83     0.00      64.3925      49.3266       7.1061    5217.4282    7189.3924
 2002.4166  167    28.17    14.11     0.00      54.6261      38.0473       7.4044    4420.1362    5996.5914
 2002.4166  168    27.89    14.67     0.00      44.6652      32.3450       7.5773    3605.5622    5056.9183
 2002.4166  169    29.89    18.00     0.00      35.6302      26.8002       7.7435    2868.6264    4142.6188
 2002.4166  170    29.56    20.72     0.00      28.8353      22.4736       7.8377    2319.7528    3434.4861
 2002.4166  171    32.72    20.72     0.00      21.9762      17.9106       7.9032    1768.6972    2648.8274
 2002.4166  172    31.94    22.28     0.00      16.3678      13.9064       7.8550    1319.2987    2003.3748
 2002.4166  173    33.11    21.72     0.00      11.5013      10.2223       7.6933     928.6021    1423.3802
 2002.4166  174    33.11    21.72     0.00      10.2247       9.2383       7.5895     827.6245    1278.3790
 2002.4166  175    33.28    19.33     0.00       8.6681       7.8864       7.4198     702.5595    1098.6942
 2002.4166  176    33.17    20.11     0.00       7.8732       7.0492       7.3688     637.8435    1007.6436
 2002.4166  177    34.44    21.22     0.00       7.6499       6.7044       7.3675     619.6119     984.4621
 2002.4166  178    34.94    20.00     0.00       7.3603       6.3260       7.3447     595.9835     954.3540
 2002.4166  179    31.72    18.89     0.00       6.9649       5.8780       7.2858     563.6666     918.1376
 2002.4166  180    33.17    19.72     0.00       6.6269       5.5048       7.2711     536.0687     882.8879
 2002.4166  181    35.28    22.89     0.00       6.3750       5.2185       7.2771     515.5611     851.4924
 2002.5000  182    34.78    22.72     0.00       6.2055       5.0160       7.2481     502.4515     791.1628
 2002.5000  183    32.22    20.61     0.00       5.8408       4.6718       7.1881     472.6486     754.7571
 2002.5000  184    31.22    20.61     0.00       5.4935       4.3551       7.1445     444.2826     719.9564
 2002.5000  185    33.06    21.17     0.00       5.1940       4.0898       7.1225     419.8624     686.3914
 2002.5000  186    33.94    20.11     0.08       4.9095       3.8444       7.0868     396.6856     653.7727
 2002.5000  187    33.44    20.83     0.00       4.6284       3.6186       7.0448     373.7987     620.8715
 2002.5000  188    35.00    20.72     0.00       4.3654       3.4042       7.0107     352.4204     588.2536
 2002.5000  189    35.28    21.44     0.00       4.1211       3.2092       6.9697     332.5758     557.3231
 2002.5000  190    37.06    22.72     0.00       3.9047       3.0405       6.9391     315.0247     527.8775
 2002.5000  191    37.17    22.94     0.00       3.6886       2.8751       6.8901     297.4857     499.1152
 2002.5000  192    29.28    18.33     0.69       5.8664       9.4372       7.8592     374.3713     793.2966
 2002.5000  193    27.83    17.89     0.00       5.9205       6.6188       7.7699     440.5367     765.1074
 2002.5000  194    25.39    16.11     0.00       5.3914       4.1904       7.6542     404.4205     726.5714
 2002.5000  195    29.94    15.94     0.00       5.0032       3.4348       7.5969     381.1705     691.7665
 2002.5000  196    31.28    16.78     0.00       4.6473       3.2684       7.5050     360.5193     657.9737
 2002.5000  197    31.83    18.89     0.00       4.3541       3.1347       7.3952     343.1582     627.3198
 2002.5000  198    33.06    19.67     0.00       4.0996       3.0208       7.2584     326.7322     596.7747
 2002.5000  199    34.61    22.00     0.00       3.9025       2.9414       7.1023     313.2060     568.6064
 2002.5000  200    35.61    22.72     0.00       3.7083       2.8361       6.9790     298.3073     539.2418
 2002.5000  201    36.94    23.33     0.00       3.5137       2.7067       6.9233     282.6859     508.9420
 2002.5000  202    38.56    24.06     0.00       3.3160       2.5710       6.8742     266.7273     478.0604
 2002.5000  203    39.28    22.22     0.61       5.0514       8.5345       7.8409     304.4785     674.4885
 2002.5000  204    29.50    15.72     0.28       4.9463       5.4646       7.8290     354.0339     644.6339
 2002.5000  205    28.89    15.83     0.00       5.0791       3.9227       7.7360     373.0605     694.2831
 2002.5000  206    33.44    18.00     3.73      62.3489      24.9498       5.1653    4756.6738    8665.0610
 2002.5000  207    35.56    19.11     0.53      57.7424      23.1135       5.1858    4389.9364    8607.7821
 2002.5000  208    28.39    20.89     2.51      60.4302      24.1404       4.1958    3933.1327    8474.3619
 2002.5000  209    36.17    23.72     0.00      50.9236      20.4083       4.9014    3675.3718    8449.0317
 2002.5000  210    34.44    19.94     0.00      42.7712      17.3369       5.5017    3290.4943    8241.5611
 2002.5000  211    33.50    20.00     0.00      37.5774      15.5600       6.0343    2923.5866    7959.0005
 2002.5000  212    35.06    21.67     0.00      33.5444      14.3577       6.5485    2600.1910    7601.4745
 2002.5834  213    35.50    22.00     0.00      30.4382      13.6023       6.9875    2350.7291    7053.1934
 2002.5834  214    31.11    14.22     0.00      24.5649      11.5230       7.2494    1879.3082    6167.8100
 2002.5834  215    27.78    14.39     0.00      19.5838       9.6149       7.4440    1483.3060    5276.4487
 2002.5834  216    36.44    18.94     0.00      15.4969       8.0735       7.7825    1165.5184    4228.4364
 2002.5834  217    37.61    22.78     0.00      11.6674       6.4978       7.9991     872.0419    3229.4756
 2002.5834  218    33.78    23.22     0.00       8.4579       5.0183       8.0588     630.2122    2402.5762
 2002.5834  219    31.22    20.22     0.00       5.7845       3.6540       8.0092     430.7047    1696.4270
 2002.5834  220    30.78    15.50     0.00       3.5803       2.4183       7.8235     266.5722    1084.8978
 2002.5834  221    31.00    15.33     0.00       2.6102       1.8468       7.5559     195.6619     813.5106
 2002.5834  222    29.83    15.94     0.00       2.3855       1.7285       7.3665     180.3169     763.6258
 2002.5834  223    32.39    19.22     0.00       2.2430       1.6503       7.2949     170.0559     722.6853
 2002.5834  224    35.50    21.11     0.20       2.1864       1.9944       7.4038     164.6474     696.6850
 2002.5834  225    29.83    15.00     0.66       3.9387       5.9717       7.9247     208.0293    1096.1054
 2002.5834  226    24.44    14.00     0.00       3.5015       3.7115       7.8196     232.8591    1014.3210
 2002.5834  227    31.72    15.11     0.00       3.2750       2.4316       7.8287     221.8537     963.3227
 2002.5834  228    29.61    16.39     0.00       2.9977       1.9699       7.7566     208.0863     911.2597
 2002.5834  229    31.22    16.72     1.88      26.1162      39.4659       6.9341    1765.1390   13385.1457
 2002.5834  230    22.06    14.72     0.00      21.1515      27.1505       7.1685    1500.3094    9878.6199
 2002.5834  231    22.89    15.44     0.25      19.2389      19.8692       7.1245    1372.3230    7719.1836
 2002.5834  232    25.00    16.00     2.46      24.1459      17.9477       4.7164    1474.0035    6907.7951
 2002.5834  233    30.44    17.28     0.00      20.0078      13.0299       5.3943    1432.5248    6828.6294
 2002.5834  234    31.39    19.44     6.58      27.7526      13.7144       4.1729    1450.2293    6976.0108
 2002.5834  235    32.06    18.94     5.99      27.6115      11.6379       4.1709    1427.8555    6992.0313
 2002.5834  236    28.39    18.50     0.05      24.0923       9.6318       4.4577    1347.0775    6903.4201
 2002.5834  237    25.89    18.33     0.00      21.3481       8.5536       4.7337    1261.1874    6782.8155
 2002.5834  238    29.61    18.11     0.00      19.2006       7.7343       5.0936    1220.7684    6736.1820
 2002.5834  239    29.22    18.39     0.00      17.4505       7.0879       5.4013    1174.3279    6663.4578
 2002.5834  240    29.39    19.11     0.00      16.4360       6.7515       5.6852    1133.9902    6588.5890
 2002.5834  241    28.94    17.61     0.18      15.6025       6.3956       5.6948    1086.2037    6494.8368
 2002.5834  242    28.89    17.61     0.00      14.9318       6.2035       5.9435    1041.0270    6379.9226
 2002.5834  243    28.78    17.56     0.00      14.3117       6.0420       6.1697     996.3292    6247.0841
 2002.6666  244    31.11    18.00     0.00      14.9374       6.4323       6.4164    1045.2864    6324.7639
 2002.6666  245    32.28    19.72     0.00      14.5123       6.3880       6.6472    1013.5002    6174.0506
 2002.6666  246    32.61    13.56     0.00      13.4222       6.0620       6.8215     931.3812    5850.5583
 2002.6666  247    29.44    14.22     0.00      12.2902       5.6880       6.9600     846.8271    5495.6740
 2002.6666  248    32.50    17.44     0.00      11.6392       5.5285       7.1537     800.4136    5203.4289
 2002.6666  249    33.61    20.22     0.00      11.0539       5.3868       7.3221     759.5905    4912.5698
 2002.6666  250    34.94    20.50     0.00      10.4836       5.2437       7.4680     720.7993    4648.0227
 2002.6666  251    34.11    20.28     0.00       9.9097       5.0833       7.5746     682.4396    4428.2883
 2002.6666  252    33.33    19.33     0.00       9.3332       4.9089       7.6584     644.5000    4238.1033
 2002.6666  253    32.06    18.44     0.00       8.7687       4.7276       7.7207     607.4126    4072.7562
 2002.6666  254    23.78    11.28     0.00       7.7655       4.2806       7.6483     535.0978    3838.8827
 2002.6666  255    24.94    11.44     0.00       7.1390       4.0283       7.6835     490.8050    3672.2133
 2002.6666  256    25.00    13.56     0.00       6.7061       3.8750       7.7247     460.3500    3538.5656
 2002.6666  257    21.78    15.72     0.86      10.6865      11.6010       6.9264     639.4728    5942.5581
 2002.6666  258    23.67     8.89     0.00       8.9290       6.8662       7.0260     586.4424    4510.5585
 2002.6666  259    23.11     8.56     0.00       8.2661       4.4555       7.1249     540.3459    4274.6732
 2002.6666  260    27.28    10.06     0.00       7.8629       3.7756       7.2770     514.3763    4057.0256
 2002.6666  261    27.61    13.83     0.28       8.0671       4.6428       7.1597     525.2744    4064.1284
 2002.6666  262    29.44    15.22     0.00       8.0645       3.8372       7.3181     530.3950    4010.5802
 2002.6666  263    18.22    13.39     0.51      10.3707       4.4134       6.6930     638.3728    4906.0357
 2002.6666  264    25.17    11.17     0.00       9.0796       3.9982       6.9214     595.1885    4604.3026
 2002.6666  265    20.50     7.44     0.00       8.0291       3.6445       6.9947     523.3150    4233.9218
 2002.6666  266    20.17     7.17     0.00       7.2395       3.3881       7.0895     468.2648    3911.4511
 2002.6666  267    19.33     6.50     0.00       6.4812       3.1260       7.1603     416.2825    3587.3345
 2002.6666  268    22.61     6.94     0.00       5.8748       2.9284       7.2679     376.4708    3268.6943
 2002.6666  269    28.06    10.33     0.00       5.5137       2.8470       7.4217     355.2610    2991.5941
 2002.6666  270    20.11     9.44     0.71       8.2575       3.5565       6.7280     499.0241    4178.1050
 2002.6666  271    14.17     9.39     0.00       7.1325       3.1304       6.7802     454.0456    3942.0956
 2002.6666  272    28.11    11.67     0.00       7.0542       3.2229       7.0655     457.0167    3789.9271
 2002.6666  273    33.50    15.94     0.00       7.1677       3.4235       7.3190     470.3497    3644.5448
 2002.7500  274    32.28    18.33     0.91      12.0358       4.9286       6.4643     768.2007    5078.9475
 2002.7500  275    31.11    11.78     3.23      16.6999       6.6711       4.0229     804.8137    5325.7257
 2002.7500  276    12.61     8.61     0.13      14.6047       5.8337       3.8462     679.5651    4951.3298
 2002.7500  277    18.78     9.17     4.06      14.2237       5.6815       3.8022     645.8799    4821.0365
 2002.7500  278    16.06     6.00     0.00      12.0904       4.8301       3.9550     582.3637    4583.5519
 2002.7500  279    22.44     6.61     0.48      12.2936       4.9106       3.8146     570.4826    4528.8819
 2002.7500  280    17.28     1.22     0.00      10.2328       4.0885       3.9729     502.0971    4241.9887
 2002.7500  281    18.61     1.89     0.00       9.0006       3.5993       4.1769     466.5149    4070.7794
 2002.7500  282    23.83     8.33     0.00       9.0063       3.6092       4.4555     492.4779    4158.9096
 2002.7500  283    22.67     8.67     0.00       8.7314       3.5109       4.6658     499.3954    4166.9646
 2002.7500  284    24.11     9.89     0.00       8.6252       3.4860       4.8888     513.9264    4204.9819
 2002.7500  285    22.28    11.22     0.05       8.5419       3.4669       5.0195     522.4975    4220.5924
 2002.7500  286    14.11     0.00     0.00       6.9082       2.8209       5.0473     428.6258    3806.2498
 2002.7500  287    17.00     0.50     0.00       6.1286       2.5226       5.1903     388.2140    3594.2060
 2002.7500  288    17.78     3.06     0.00       5.8303       2.4221       5.3415     371.8083    3486.8193
 2002.7500  289    13.72     0.56     0.00       5.2578       2.2045       5.4130     331.5475    3259.2174
 2002.7500  290     3.78     1.78     0.91       6.7997       2.7160       3.9300     301.9917    3140.7246
 2002.7500  291    14.39     3.33     0.00       6.2772       2.5076       4.1280     303.1583    3127.4188
 2002.7500  292    21.67     0.67     0.00       5.8523       2.3399       4.3663     302.7360    3104.8113
 2002.7500  293    10.61    -0.44     0.00       5.1108       2.0459       4.4500     270.2715    2912.7818
